url|code|confidence|source|price|location|store_name|address_line1|address_line2|city|state|expires|error
https://offers.greatclips.com/hvdH8Ma||||$7.99|participating Hattiesburg area Great Clips salons|Great Clips|||Hattiesburg||08/14/2026|
https://offers.greatclips.com/k9fevah||||$7.99|Great Clips Precinct Line Center at 1320 Precinct Line Rd in Hurst, TX|Great Clips|Precinct Line Center|1320 Precinct Line Rd|Hurst|TX|08/14/2026|
https://offers.greatclips.com/9umdh5p||||$7.99|Great Clips Ravenwood Shopping Center at 229 IH 45 S in Huntsville, TX|Great Clips|Ravenwood Shopping Center|229 IH 45 S|Huntsville|TX|08/07/2026|
https://offers.greatclips.com/eKU0fUf||||$7.99|Great Clips Homestead Plaza at 2200 N Frazier St in Conroe, TX|Great Clips|Homestead Plaza|2200 N Frazier St|Conroe|TX|08/07/2026|
https://offers.greatclips.com/eSCd7Bk||||$7.99|Great Clips Pineborough Shopping Center at 1501 W Church St in Livingston, TX|Great Clips|Pineborough Shopping Center|1501 W Church St|Livingston|TX|08/07/2026|
https://offers.greatclips.com/8ttKONG||||$7.99|Great Clips Cavern City Shopping Center at 1302 S Canal St in Carlsbad, NM|Great Clips|Cavern City Shopping Center|1302 S Canal St|Carlsbad|NM|08/02/2026|
https://offers.greatclips.com/bqyKTcw||||$7.99|Great Clips Fredericksburg Town Center at 1455 E Main St in Fredericksburg, TX|Great Clips|Fredericksburg Town Center|1455 E Main St|Fredericksburg|TX|07/28/2026|
https://offers.greatclips.com/MXqjG8F||||$7.99|Great Clips Shops at Indian Creek at 4508 Hwy 42 S in Locust Grove, GA|Great Clips|Shops|Indian Creek at 4508 Hwy 42 S|Locust Grove|GA|07/31/2026|
https://offers.greatclips.com/B4ahxRi||||$7.99|Great Clips Sunriver at 4609 S Pioneer Road in St|Great Clips|Sunriver at 4609 S Pioneer Road in St||||07/24/2026|
https://offers.greatclips.com/kUAkp0R||||$8.99|participating Wichita & surrounding area area Great Clips salons|area Great Clips|||surrounding||08/28/2026|
https://offers.greatclips.com/EOqaSeP||||$8.99|participating Montgomery area Great Clips salons|Great Clips|||Montgomery||08/21/2026|
https://offers.greatclips.com/GVy9nyu||||$8.99|participating Abilene & Brownwood area Great Clips salons|Great Clips|||Brownwood||08/21/2026|
https://offers.greatclips.com/A8qRXJU||||$8.99|participating Covington & Picayune area Great Clips salons|Great Clips|||Picayune||08/14/2026|
https://offers.greatclips.com/tyN43Q5||||$8.99|Great Clips Grand Oaks Town Center at 2575 SW 42nd St in Ocala, FL|Great Clips|Grand Oaks Town Center|2575 SW 42nd St|Ocala|FL|08/16/2026|
https://offers.greatclips.com/Ms76zSs||||$8.99|Great Clips La Plaza Grande at 1126 Bichara Blvd in The Villages, FL|Great Clips|La Plaza Grande|1126 Bichara Blvd|The Villages|FL|08/16/2026|
https://offers.greatclips.com/Ri69BMZ||||$8.99|Great Clips Cumberland Plaza at 1339 Smithville Hwy in McMinnville, TN|Great Clips|Cumberland Plaza|1339 Smithville Hwy|McMinnville|TN|08/16/2026|
https://offers.greatclips.com/9SbPAQm||||$8.99|Great Clips Market at Cherrywood at 9570 SW 62nd Ave in Ocala, FL|Great Clips|Market|Cherrywood at 9570 SW 62nd Ave|Ocala|FL|08/16/2026|
https://offers.greatclips.com/mXBj19m||||$8.99|Great Clips Bay Forest at 1926 El Dorado Boulevard in Houston, TX|Great Clips|Bay Forest|1926 El Dorado Boulevard|Houston|TX|08/21/2026|
https://offers.greatclips.com/9vhvoap||||$8.99|Great Clips Russell Ridge at 1475 Georgia Hwy 20 in Lawrenceville, GA|Great Clips|Russell Ridge|1475 Georgia Hwy 20|Lawrenceville|GA|07/24/2026|
https://offers.greatclips.com/OFVP2Xm||||$8.99|participating Upper Rio Grande Valley area Great Clips salons|Great Clips|||Upper Rio Grande Valley||07/17/2026|
https://offers.greatclips.com/FQIXJCh||||$8.99|Great Clips Chambers Commons at 8535 TX-146 in Baytown, TX|Great Clips|Chambers Commons|8535 TX-146|Baytown|TX|08/14/2026|
https://offers.greatclips.com/wYshbvr||||$8.99|Great Clips Ross Henderson Shopping Center at 5334 Ross Ave in Dallas, TX|Great Clips|Ross Henderson Shopping Center|5334 Ross Ave|Dallas|TX|08/07/2026|
https://offers.greatclips.com/E5Kyoyv||||$8.99|Great Clips High Point Crossing at 6411 E Northwest Hwy in Dallas, TX|Great Clips|High Point Crossing|6411 E Northwest Hwy|Dallas|TX|08/07/2026|
https://offers.greatclips.com/60cATDF||||$8.99|Great Clips Village Grove at Verrado at 19580 W Indian School Road in Buckeye, AZ|Great Clips|Village Grove|Verrado at 19580 W Indian School Road|Buckeye|AZ|07/31/2026|
https://offers.greatclips.com/OQeoZ55||||$8.99|Great Clips River Falls Plaza at 2099 E Main St in Duncan, SC|Great Clips|River Falls Plaza|2099 E Main St|Duncan|SC|07/21/2026|
https://offers.greatclips.com/m4f0a7O||||$8.99|Great Clips Richland Village at 904 Audelia Rd in Richardson, TX|Great Clips|Richland Village|904 Audelia Rd|Richardson|TX|08/07/2026|
https://offers.greatclips.com/N63drks||||$8.99|Great Clips Lakewood at 15004 Detroit Ave in Lakewood, OH|Great Clips|Lakewood|15004 Detroit Ave|Lakewood|OH|07/30/2026|
https://offers.greatclips.com/MI3bnkt||||$8.99|Great Clips Kamm's Plaza at 3772 Rocky River Dr in Cleveland, OH|Great Clips|Kamm's Plaza|3772 Rocky River Dr|Cleveland|OH|07/30/2026|
https://offers.greatclips.com/cWbq4lM||||$8.99|Great Clips Meijers White Lake at 6001 Highland Rd in White Lake, MI|Great Clips|Meijers White Lake|6001 Highland Rd|White Lake|MI|07/24/2026|
